End of Year,Total Membership,Children of Record,Baptisms of Children of Record,Convert Baptisms,Total Baptisms,Convert Children of Record,Births to Active Members,Mormon Birth Rate,Mormon Death Rate,Mormon Life Expectancy,Birth Rate (Fractional),Children per Woman,Female/Male Ratio,Stakes,Missions,Wards and Branches,Wards and Branches in Stakes,Branches,Wards,Branches in Stakes,Branches in Missions,Members in Stakes,Members in Missions,Members per Ward,Sunday School Attendance,Full Time Missionaries,New Missionaries,Average Mission Length (years),New Senior Missionaries,New Male Missionaries,New Female Missionaries,Total Senior Missionaries,Total Male Missionaries,Total Female Missionaries,15 Y/O,16 Y/O,17 Y/O,18 Y/O,19 Y/O,Seminary Enrollment,Activity by Births,Activity by Ward Size,Activity by Stake Size,Activity by Sunday School Attendance,Activity by Missionaries,Activity by Seminary Enrollment,Activity Rate,Gone Inactive,Active Mormons,Inactive Mormons,Deaths of Active Members,Inactives who reach Age 110,Record Adjustments,"Names Removed
1998,10404448,130818,76829,299134,375963,35028,95790,21.1,4.4,76.65,1.0211,,0.4998,2505,331,25553,21649,7955,17598,4051,3904,9291808,1112640,472,,57853,33229,1.74,3108,24247,5874,3860,45714,8279,150259,162788,150649,145892,155692,377436,44.3,37.1,36.4,,31.9,61.9,37.1,198286,3860050,6544398,16713,9183,,71391,,,71391,677928
1999,10752984,130390,84118,306171,390289,35852,94538,21.1,4.4,77.5,1.0211,,0.4993,2542,333,25793,21897,7944,17849,4048,3896,9642624,1110360,483,,58593,33915,1.77,3116,24793,6006,3893,46263,8437,137539,154332,166860,154721,149964,373887,42.4,36.2,35.6,,32.4,60.9,36.2,325391,3892580,6860404,16850,9385,,61790,,,61790,736735
2000,11068861,129625,81450,273973,355423,32082,97543,21.1,4.3,78.4,1.0211,,0.4989,2581,334,25915,22071,7874,18041,4030,3844,9973321,1095540,495,,60784,34503,1.76,3139,25248,6116,3918,48101,8765,135180,141183,157975,170504,158365,381758,42.4,35.4,34.9,,32.7,63.1,35.4,299629,3918377,7150484,16609,9549,,61563,,,61563,795129
2001,11394518,128859,69522,292612,362134,34264,94595,21,4.2,79.3,1.021,,0.4988,2607,333,26084,22249,7846,18238,4011,3835,10301543,1092975,507,,60850,34684,1.73,3146,25388,6150,3931,48161,8758,132412,139072,145075,161867,174396,380386,40.1,34.5,34.2,,30.4,65.8,34.5,322843,3931109,7463409,16275,9918,,69621,,,69621,861410
2002,11721548,128094,81132,283138,364270,33155,94939,21.1,4.3,80.2,1.0211,,0.4987,2602,335,26143,22231,7869,18274,3957,3912,10606628,1114920,522,,61638,36196,1.71,3140,26610,6446,3927,48780,8931,138119,136178,142838,148841,165633,375674,38.9,33.5,33.1,,31.2,66.4,33.5,341767,3926719,7794829,16649,10347,,57206,,,57206,914911
2003,11985254,127329,99457,242923,342380,28446,98883,21.1,4.1,81.1,1.0211,,0.4985,2624,337,26237,22418,7759,18478,3940,3819,10896839,1088415,531,,56237,30467,1.71,3170,21974,5323,3955,44461,7821,148750,141350,139409,146069,152071,370940,39.5,33,32.5,,27.6,64.4,33,246085,3955134,8030120,16038,10794,,79714,,,79714,990873
2004,12275822,126563,98870,241108,339978,28233,98330,21.1,4.3,81.95,1.0211,,0.4984,2665,338,26670,22886,7754,18916,3970,3784,11197382,1078440,534,,51067,29548,1.73,3234,21183,5131,4026,39846,7195,133246,151957,144557,142615,149275,361686,38.4,32.8,32.1,,28,63.2,32.8,230508,4026470,8249352,17109,11276,,48718,,,48718,1035329
2005,12560869,125798,93150,243108,336258,28467,97331,21,4.5,82,1.021,,0.4983,2701,341,27087,23307,7769,19318,3989,3780,11483569,1077300,537,,52060,30587,1.74,3392,21892,5303,4200,40467,7393,133086,136480,155190,147790,145849,363370,37.3,32.6,31.8,,29.6,63.5,32.6,228331,4094843,8466026,18218,11657,,53984,,,53984,1084654
2006,12868606,125033,94006,272845,366851,31950,93083,21.2,4.7,82.1,1.0212,,0.4982,2745,344,27475,23703,7775,19700,4003,3772,11793586,1075020,542,,53164,30653,1.73,3309,22012,5332,4157,41467,7540,146292,136715,140108,158819,151419,362756,34.5,32.3,31.4,,29.5,62.3,32.3,258124,4156560,8712046,19302,12104,,58735,,,58735,1138290
2007,13193999,124267,93698,279218,372916,32696,91571,21.2,4.9,82.2,1.0212,,0.4981,2790,348,27827,24076,7762,20065,4011,3751,12124964,1069035,548,,52686,30384,1.73,3382,21737,5265,4209,41037,7440,145070,150006,140429,143822,162533,364048,33.1,31.9,31.1,,27.6,62.8,31.9,285733,4208886,8985113,20369,12666,,45057,,,45057,1177769
2008,13508509,123502,93149,265593,358742,31100,92402,20.9,5.1,82.3,1.0209,,0.4979,2818,348,28109,24308,7795,20314,3994,3801,12425224,1083285,555,,52494,30312,1.74,3410,21656,5246,4255,40826,7413,124801,148603,153538,143961,147354,361993,33.1,31.5,30.6,,27.8,63.4,31.5,281459,4255180,9253329,21449,13243,,39893,,,39893,1211655
2009,13824854,119722,92598,280106,372704,32800,86922,19.8,5,82.4,1.0198,,0.4978,2865,344,28424,24329,7736,20387,3942,3794,12743564,1081290,568,,51736,29168,1.74,3406,20739,5023,4258,40223,7255,141091,128526,152328,157263,147686,363048,32.1,30.8,30.4,,28,62.7,30.8,327195,4258055,9566799,21047,13725,,48711,,,48711,1254307
2010,14131467,120528,92048,272814,364862,31946,88582,18.8,5.2,82.5,1.0188,,0.4977,2896,340,28660,24894,7743,20917,3977,3766,13058157,1073310,568,,52225,30563,1.72,3393,21872,5298,4244,40549,7432,165775,144719,132154,155957,160892,369373,33.7,30.8,29.9,,28.2,61.7,30.8,226275,4352492,9778975,22387,14099,,50243,,,50243,1298027
2011,14441346,119917,91499,281312,372811,32941,86976,18.2,5.3,82.6,1.0182,,0.5,2946,340,28784,25049,7680,21104,3945,3735,13376871,1064475,578,,55410,33261,1.66,4930,22807,5524,5778,41957,7675,162573,169516,148461,135896,159698,375389,33.5,30.3,29.7,,28.5,60.9,30.3,300892,4375728,10065618,22943,14249,,54158,,,54158,1345305
2012,14782473,122273,90948,272330,363278,31889,90384,18,5.5,82.7,1.018,,0.5,3005,347,29014,25333,7613,21401,3932,3681,13733388,1049085,586,,58990,37793,1.65,4978,26110,6705,6210,44221,8559,154273,166195,173138,152083,139518,383535,34.4,29.9,29.5,,34.9,59.4,29.9,311065,4419959,10362514,24029,14169,,15278,,,15278,1353183
2013,15082028,115486,90398,282945,373343,33132,82354,17.5,5.7,82.8,1.0175,,0.5,3050,405,29253,25626,7546,21707,3919,3627,14048333,1033695,592,,83035,60217,1.62,5398,32081,22737,6643,53142,23250,157086,158036,169958,176901,155846,391680,31.5,29.6,29.3,,39,59.2,29.6,269936,4464280,10617748,25194,14702,,58980,,,58980,1404450
2014,15372337,116409,89849,296803,386652,34755,81654,17.4,5.9,82.9,1.0174,,0.5,3114,406,29621,26048,7497,22124,3924,3573,14354032,1018305,594,,85147,48437,1.59,5392,26649,16395,6742,53238,25167,155768,161034,161983,173905,180849,395877,30.8,29.5,29.3,,30.4,60.7,29.5,235495,4534839,10837498,26503,15745,,80655,,,80655,1476818
2015,15634199,114550,89298,257402,346700,30141,84409,17,6.1,83,1.017,,0.5,3174,418,30016,26497,7450,22566,3931,3519,14631284,1002915,595,,74079,44922,1.6,4852,26083,13986,6200,47779,20000,158088,159191,164457,165407,177329,400073,32,29.4,29.3,,30.7,61.8,29.4,216334,4596455,11037744,27804,16088,,66198,,,66198,1534006
2016,15882417,109246,88749,240131,328880,28119,81127,16.6,6.3,83,1.0166,,0.5,3266,421,30304,26839,7361,22943,3896,3465,14894892,987525,597,,70946,43396,1.61,4371,25563,13462,5584,46819,18543,154679,161282,162385,167651,168601,404270,31,29.3,29.6,,30.7,62.6,29.3,207867,4653548,11228869,29088,16742,,55329,,,55329,1579670
2017,16118169,106771,86032,233729,319761,27369,79402,16.4,6.6,83,1.0164,,0.5,3341,421,30506,27095,7282,23224,3871,3411,15146034,972135,600,,67049,40032,1.6,3614,24376,12042,4707,45310,17032,154223,157788,164391,165494,170759,,30.3,29.2,29.8,,29.3,,29.2,200642,4706505,11411664,30836,17847,,56065,,,56065,1625309
2018,16367030,106852,86997,250923,337920,29383,77469,16.3,7,83.1,1.0163,,0.5,3369,407,30442,27250,7065,23377,3873,3192,15457310,909720,603,,64052,40033,1.6,3844,24091,12098,4748,43167,16137,157725,157560,161125,167728,168831,,,,,,,,29,225831,4747653,11619376,32771,18118,,,,,58025,1671956
2019,16610582,106760,86556,248826,335382,29137,77623,16.2,7.3,83.2,1.0162,,0.5,3446,389,30919,27781,7017,23902,3879,3138,15716252,894330,607,,63930,39910,1.6,3825,23866,12219,4786,42829,16315,157302,161034,160870,164434,171037,,,,,,,,28.9,223943,4785902,11824680,34473,18639,,,,,58921,1718671
2020,16849714,107098,88257,246730,334987,28892,78206,16.2,7.5,83.3,1.0162,,0.5,3479,386,31109,28025,6969,24140,3885,3084,15970774,878940,611,,63319,39372,1.6,3866,23697,11809,4822,42490,16007,156419,160583,164316,164151,167716,,,,,,,,28.7,222057,4822174,12027540,35701,19197,,,,,59798,1765578
2021,17083184,106917,83358,244633,327991,28646,78271,16.1,7.8,83.4,1.0161,,0.5,3510,382,31286,28256,6921,24365,3891,3030,16219634,863550,615,,62385,38761,1.6,3889,23662,11211,4855,42258,15272,152245,159673,163837,167569,167405,,,,,,,,28.5,220170,4855486,12227698,37409,20012,,,,,60659,1812465
2022,17311778,107172,84024,242537,326561,28401,78771,16.1,8.1,83.5,1.0161,,0.5,3539,382,31447,28471,6873,24574,3897,2976,16463618,848160,619,,62206,38949,1.6,3914,23591,11444,4886,42122,15198,150362,155471,162899,167063,170795,,,,,,,,28.3,218283,4886298,12425480,39115,20501,,,,,61499,1859283
2023,17535392,106895,82682,240440,323122,28155,78740,16,8.3,83.6,1.016,,0.5,3566,383,31594,28672,6825,24769,3903,2922,16702622,832770,623,,62282,38913,1.6,3937,23158,11819,4915,41715,15652,150648,153560,158668,166096,170260,,,,,,,,28.1,216396,4914581,12620811,40334,21065,,,,,62322,1906172
2024,17754624,106572,78854,238344,317198,27910,78662,15.9,8.6,83.7,1.0159,,0.5,3591,381,31727,28859,6777,24950,3909,2868,16937244,817380,628,,61802,38455,1.6,3956,22660,11839,4940,40986,15876,144771,153818,156730,161838,169266,,,,,,,,27.9,214510,4939828,12814796,42032,20525,,,,,63127,1952905
2025,17968665,106196,77067,236247,313314,27664,78532,15.8,8.8,83.8,1.0158,,0.5,3614,375,31841,29027,6729,25112,3915,2814,17166675,801990,633,,60568,37496,1.6,3974,22216,11305,4963,40182,15423,145786,147913,156960,159872,164980,,,,,,,,27.7,212622,4962504,13006161,43228,21257,,,,,63917,1999636
2026,18177402,105777,77126,234151,311277,27419,78358,15.7,9,83.9,1.0157,,0.5,3634,367,31940,29180,6681,25259,3921,2760,17390802,786600,637,,59065,36568,1.6,3989,21698,10880,4983,39290,14792,143637,148900,151028,160074,162986,,,,,,,,27.5,210736,4982597,13194805,44412,22092,,,,,64687,2046326
2027,18380297,105312,77059,232054,309113,27173,78139,15.6,9.3,84,1.0156,,0.5,3653,362,32024,29318,6633,25391,3927,2706,17609087,771210,642,,58086,36145,1.6,4003,21316,10827,5000,38519,14567,146346,146723,151986,154114,163160,,,,,,,,27.3,208849,4999600,13380697,46076,22957,,,,,65439,2092734
2028,18579489,104798,77303,229958,307261,26928,77870,15.5,9.2,84.1,1.0155,,0.5,3670,355,32093,29441,6585,25508,3933,2652,17823669,755820,647,,56763,35076,1.6,4014,20824,10237,5015,37734,14014,137718,149404,149781,155045,157172,,,,,,,,27,206962,5015490,13563998,45734,23661,,,,,66169,2139649
2029,18772657,104262,77173,227861,305034,26682,77580,15.4,9.4,84.2,1.0154,,0.5,3685,348,32152,29554,6537,25615,3939,2598,18032227,740430,652,,55460,34415,1.6,4025,20725,9665,5029,37196,13235,136234,140749,152435,152812,158075,,,,,,,,26.8,205075,5028777,13743879,46875,25194,,,,,66886,2186422
2030,18959723,103686,77357,225765,303122,26437,77249,15.3,9.6,84.3,1.0153,,0.5,3699,343,32196,29652,6489,25707,3945,2544,18234683,725040,657,,54578,33930,1.6,4033,20195,9702,5039,36555,12984,137972,139237,143751,155438,155814,,,,,,,,26.6,203189,5039461,13920262,47997,26805,,,,,67582,2233014
2031,19141204,103067,77157,223668,300825,26191,76876,15.2,9.7,84.4,1.0152,,0.5,3710,342,32225,29735,6441,25784,3951,2490,18431554,709650,662,,54177,33819,1.6,4040,19701,10078,5048,35751,13378,134219,140947,142212,146726,158412,,,,,,,,26.4,201301,5048042,14093163,48598,28401,,,,,68255,2279608
2032,19318504,102416,76924,221572,298496,25946,76470,15.1,9.8,84.5,1.0151,,0.5,3720,335,32244,29808,6393,25851,3957,2436,18624244,694260,667,,52923,32631,1.6,4045,19169,9417,5055,34891,12977,132245,137166,143894,145159,149673,,,,,,,,26.2,199415,5054527,14263977,49180,28600,,,,,68908,2326175
2033,19492106,101732,76652,219475,296127,25700,76032,15,9.8,84.6,1.015,,0.5,3729,324,32252,29870,6345,25907,3963,2382,18813236,678870,673,,51014,31435,1.6,4048,18854,8533,5059,34085,11870,130125,135164,140085,146813,148078,,,,,,,,26,197528,5059418,14432687,49241,28817,,,,,69547,2372925
2034,19660353,101532,76350,217379,293729,25455,76077,15,10,84.7,1.015,,0.5,3736,319,32249,29921,6297,25952,3969,2328,18996873,663480,678,,50125,31264,1.6,4050,18521,8693,5062,33461,11602,129811,133017,138055,142976,149704,,,,,,,,25.8,195641,5062224,14598129,50292,30200,,,,,70172,2419367
2035,19823367,100792,76014,215282,291296,25209,75583,14.9,10.1,84.8,1.0149,,0.5,3742,316,32233,29959,6249,25984,3975,2274,19175277,648090,684,,49414,30656,1.6,4050,18027,8579,5063,32764,11587,129925,132674,135880,140918,145839,,,,,,,,25.6,193754,5062947,14760421,50821,31462,,,,,70777,2465708
2036,19981787,100530,75643,213186,288829,24964,75566,14.9,10.3,84.9,1.0149,,0.5,3746,309,32206,29986,6201,26005,3981,2220,19349087,632700,689,,48222,29829,1.6,4049,17683,8096,5062,32045,11115,129522,132761,135509,138715,143753,,,,,,,,25.4,191867,5061599,14920188,51832,32100,,,,,71364,2511675
2037,20135687,99730,75256,211089,286345,24718,75012,14.8,10.4,85,1.0148,,0.5,3748,302,32167,30001,6153,26014,3987,2166,19518377,617310,695,,47033,29136,1.6,4046,17429,7661,5058,31478,10497,129553,132329,135568,138317,141523,,,,,,,,25.2,189980,5058185,15077502,52319,32667,,,,,71934,2557487
2038,20284745,99408,74841,208993,283834,24473,74935,14.8,10.6,85.1,1.0148,,0.5,3749,298,32115,30003,6105,26010,3993,2112,19682825,601920,701,,46145,28663,1.6,4042,17248,7373,5053,31058,10034,129054,132333,135109,138348,141097,,,,,,,,25,188094,5052718,15232027,53286,33569,,,,,72488,2602865
2039,20428663,98549,74394,206896,281290,24227,74322,14.7,10.8,85.2,1.0147,,0.5,3749,295,32052,29994,6057,25995,3999,2058,19842133,586530,707,,45588,28390,1.6,4035,17081,7275,5045,30731,9812,128507,131805,135084,137861,141099,,,,,,,,24.8,186206,5044702,15383961,54230,34272,,,,,73025,2647779
2040,20567120,98160,73924,204799,278723,23981,74179,14.7,11,85.3,1.0147,,0.5,3746,293,31973,29969,6009,25964,4005,2004,19995980,571140,713,,45118,28084,1.6,4026,16887,7171,5035,30408,9675,127908,131231,134529,137808,140584,,,,,,,,24.5,184319,5034656,15532464,55143,35816,,,,,73543,2692196
2041,20700432,97238,73430,202703,276133,23736,73502,14.6,11.2,85.4,1.0146,,0.5,3742,291,31883,29933,5961,25922,4011,1950,20144682,555750,719,,44642,27791,1.6,4015,16688,7088,5022,30063,9557,127266,130604,133927,137225,140504,,,,,,,,24.3,182433,5022091,15678340,56031,36556,,,,,74042,2736085
2042,20829530,96784,73286,200606,273892,23490,73294,14.6,11.3,85.5,1.0146,,0.5,3736,288,31779,29883,5913,25866,4017,1896,20289170,540360,726,,44140,27465,1.6,4004,16462,7000,5008,29689,9443,126578,129934,133272,136595,139893,,,,,,,,24.1,180545,5008027,15821503,56387,37383,,,,,74522,2779689
2043,20953927,96309,72752,198510,271262,23245,73064,14.6,11.5,85.6,1.0146,,0.5,3728,286,31666,29824,5865,25801,4023,1842,20428957,524970,733,,43574,27095,1.6,3991,16232,6872,4992,29290,9292,125841,129218,132574,135913,139235,,,,,,,,23.9,178659,4991980,15961948,57221,38214,,,,,74986,2822708
2044,21073770,95805,72563,196413,268976,22999,72806,14.6,11.5,85.7,1.0146,,0.5,3720,283,31542,29754,5817,25725,4029,1788,20564190,509580,739,,42972,26715,1.6,3977,15997,6741,4975,28878,9119,125082,128453,131831,135186,138525,,,,,,,,23.7,176772,4974958,16098812,57034,39907,,,,,75434,2865680
2045,21186957,94791,71985,194317,266302,22754,72037,14.5,11.7,85.8,1.0145,,0.5,3710,280,31409,29675,5769,25640,4035,1734,20692767,494190,746,,42361,26332,1.6,3961,15760,6611,4955,28460,8946,124283,127667,131037,134415,137771,,,,,,,,23.5,174885,4955490,16231468,57825,42230,,,,,75866,2908017
2046,21296060,94240,71753,192220,263973,22508,71732,14.5,11.8,85.9,1.0145,,0.5,3698,276,31266,29586,5721,25545,4041,1680,20817260,478800,753,,41740,25941,1.6,3945,15519,6477,4935,28036,8769,123441,126839,130223,133594,136972,,,,,,,,23.2,172998,4934592,16361469,58087,42997,,,,,76273,2949975
2047,21400594,93670,71133,190124,261257,22263,71407,14.5,11.9,86,1.0145,,0.5,3686,273,31113,29487,5673,25440,4047,1626,20937184,463410,760,,41109,25544,1.6,3926,15276,6342,4912,27608,8589,122566,125970,129368,132752,136123,,,,,,,,23,171112,4912279,16488315,58329,44266,,,,,76666,2991536
2048,21500083,93078,70852,188027,258879,22017,71061,14.5,12,86.1,1.0145,,0.5,3672,270,30951,29379,5625,25326,4053,1572,21052063,448020,768,,40471,25144,1.6,3908,15031,6206,4889,27174,8408,121660,125067,128470,131868,135252,,,,,,,,22.8,169224,4888569,16611514,58549,46025,,,,,77042,3032679
2049,21595757,92468,70186,185931,256117,21772,70696,14.5,12.2,86.2,1.0145,,0.5,3658,266,30783,29265,5577,25206,4059,1518,21163127,432630,775,,39829,24742,1.6,3886,14784,6072,4863,26738,8228,121236,124133,127540,130943,134341,,,,,,,,22.6,167338,4862996,16732761,59234,46091,,,,,77400,3073080
2050,21686819,91830,69859,183834,253693,21526,70304,14.5,12.2,86.3,1.0145,,0.5,3642,261,30603,29139,5529,25074,4065,1464,21269579,417240,783,,39178,24333,1.6,3865,14533,5934,4837,26295,8046,120273,123681,126578,129985,133388,,,,,,,,22.4,165451,4836544,16850275,58920,47937,,,,,77745,3113333
2051,21771774,90698,69516,181738,251254,21281,69417,14.4,12.3,86.4,1.0144,,0.5,3624,257,30416,29006,5481,24935,4071,1410,21369924,401850,790,,38523,23923,1.6,3842,14302,5780,4808,25868,7847,119788,122691,126098,128995,132402,,,,,,,,22.1,163564,4808267,16963507,59076,50332,,,,,78073,3153112
2052,21851517,90025,69152,179641,248793,21035,68990,14.4,12.3,86.5,1.0144,,0.5,3606,252,30219,28863,5433,24786,4077,1356,21465057,386460,798,,37864,23511,1.6,3819,14069,5623,4779,25449,7636,118765,122177,125080,128487,131384,,,,,,,,21.9,161677,4779151,17072365,58727,52819,,,,,78378,3192706
2053,21924736,89341,68420,177545,245965,20790,68551,14.4,12.3,86.6,1.0144,,0.5,3587,248,30016,28714,5385,24631,4083,1302,21553666,371070,806,,37261,23155,1.6,3794,13855,5506,4749,25051,7461,118220,121127,124538,127441,130849,,,,,,,,21.7,159791,4749215,17175521,58367,56635,,,,,78665,3232100
2054,21991715,88645,68022,175448,243470,20544,68101,14.4,12.4,86.7,1.0144,,0.5,3567,245,29808,28560,5337,24471,4089,1248,21636035,355680,814,,36675,22782,1.6,3769,13624,5389,4718,24653,7304,117138,120553,123460,126872,129775,,,,,,,,21.5,157903,4718007,17273708,58469,59716,,,,,78929,3270950
2055,22055657,87462,67611,173352,240963,20299,67163,14.3,12.4,86.8,1.0143,,0.5,3547,241,29596,28402,5289,24307,4095,1194,21715367,340290,822,,36096,22427,1.6,3744,13410,5273,4686,24260,7150,116526,119444,122859,125766,129177,,,,,,,,21.3,156017,4685553,17370104,58081,59621,,,,,79170,3309560
2056,22113383,86733,67184,171255,238439,20053,66680,14.3,12.5,86.9,1.0143,,0.5,3525,237,29373,28233,5241,24132,4101,1140,21788483,324900,830,,35506,22049,1.6,3716,13176,5157,4652,23860,6994,115381,118804,121721,125136,128043,,,,,,,,21.1,154130,4651869,17461514,58142,62720,,,,,79400,3347590
2057,22158612,85989,66743,169159,235902,19808,66181,14.3,12.5,87,1.0143,,0.5,3501,233,29136,28050,5193,23943,4107,1086,21849102,309510,838,,34920,21690,1.6,3688,12960,5042,4617,23462,6841,114704,117631,121054,123971,127386,,,,,,,,20.9,152243,4617446,17541166,57720,72591,,,,,79608,3385353
2058,22200003,84774,66283,167062,233345,19562,65212,14.2,12.6,87.1,1.0142,,0.5,3478,229,28904,27872,5145,23759,4113,1032,21905883,294120,846,,34334,21320,1.6,3659,12730,4930,4581,23063,6690,114006,116926,119853,123276,126193,,,,,,,,20.7,150356,4581408,17618594,57747,72928,,,,,79771,3422468
2059,22235349,84001,65466,164966,230432,19317,64684,14.2,12.6,87.2,1.0142,,0.5,3453,225,28661,27683,5097,23564,4119,978,21956619,278730,854,,33754,20962,1.6,3630,12515,4817,4545,22669,6540,113279,116200,119120,122047,125470,,,,,,,,20.5,148469,4544694,17690655,57292,76409,,,,,79920,3459264
2060,22265443,83217,64980,162869,227849,19071,64146,14.2,12.6,87.3,1.0142,,0.5,3428,221,28414,27490,5049,23365,4125,924,22002103,263340,863,,33165,20588,1.6,3599,12339,4649,4507,22320,6338,112042,115445,118366,121286,124213,,,,,,,,20.3,146582,4507322,17758122,56829,79115,,,,,80047,3495724
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sources of Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"2013 Church Almanac, Deseret News, pages 210-213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Conference Reports of the Church of Jesus Christ of Latter-day Saints, 1901-2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Conference Reports of the Church of Jesus Christ of Latter-day Saints, 1997-2007, reported as Increase of Children of Record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Utah Vital Statistics, Births and Deaths, Utah Department of Health, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Lifestyle and reduced mortality among active California Mormons, Enstrom & Breslow, 19802004, and Life expectancy among LDS and Non-LDS in Utah, Merrill, 2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Social Research on the LDS Church and its Members, Chapter 4: Vital Statistics, Tim B. Heaton, Brigham Young University, 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"U.S. Bureau of the Census, General Population Characteristics: Utah, 1850-2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,http://www.ldschurchtemples.com/statistics/units/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Seminaries and Institutes of Religion, Annual Report for 2012, & LDS seminary enrollment reaches all-time high, Deseret News, April 24, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Worldwide Statistics (2016). Mormon Newsroom (https://www.mormonnewsroom.org/facts-and-statistics),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Fertility and Mortality in the United States, Michael Haines, Colgate University, Table 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Did the 1918 influenza cause the twentieth century cardiovascular mortality epidemic in the United States?, Steven Tate, Jamie J. Namkung and Andrew Noymer (2016), Figure 2, Men/Women Average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Need for Missionary Couples Continues to Grow, Ensign, March 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"LDS Church Desperately Needs More Senior Missionaries, Deseret News, Sep 14, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Church Provides Additional Missionary Statistics, Mormon Newsroom, April 5, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Senior Missionaries Answer Call to Serve, Mormon Newsroom, Feb 20, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Elder Nielson Provides Church Missionary Update After Surge, Mormon Newsroom, March 31, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Projected Future Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Estimated Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
